అంక	340
అంకం	93
అంకంపాలెం	4
అంకంలో	32
అంకంలోకి	3
అంకకాడు	5
అంకగణిత	65
అంకగణితం	16
అంకగణితంలో	7
అంకగణితము	33
అంకణము	11
అంకణాల	6
అంకతి	4
అంకన	22
అంకపొంకాలు	2
అంకము	53
అంకముల	25
అంకములు	34
అంకములో	5
అంకమ్మ	254
అంకమ్మకు	6
అంకయ్య	35
అంకరాజు	20
అంకర్	11
అంకలమ్మ	5
అంకల్	4
అంకవిద్య	3
అంకశ్రేఢి	126
అంకశ్రేఢుల	4
అంకా	48
అంకానికి	5
అంకాన్ని	6
అంకాపొంకాలు	5
అంకార	5
అంకాల	13
అంకాలను	5
అంకాలమ్మ	5
అంకాలలో	4
అంకాలు	39
అంకాళమ్మ	19
అంకి	37
అంకింతం	3
అంకిత	165
అంకితం	735
అంకితంగా	16
అంకితంలో	2
అంకితభావం	60
అంకితభావంతో	42
అంకితభావంతోనూ	3
అంకితభావానికి	3
అంకితమయి	3
అంకితమయింది	4
అంకితమయిన	9
అంకితమయ్యారు	11
అంకితమయ్యే	5
అంకితమిచ్చాడు	22
అంకితమిచ్చారు	21
అంకితమిచ్చి	3
అంకితమిచ్చిన	15
అంకితమిచ్చినది	3
అంకితమిచ్చెను	3
అంకితమివ్వడం	8
అంకితమిస్తూ	6
అంకితము	91
అంకితముగా	8
అంకితమై	54
అంకితమైంది	16
అంకితమైన	81
అంకితమైనది	5
అంకితమైనారు	4
అంకితమైపోయింది	4
అంకితమైపోయిన	5
అంకితాలు	3
అంకితుడై	2
అంకినీడు	33
అంకియ	9
అంకిలి	35
అంకు	96
అంకుఠిత	3
అంకుడు	9
అంకుని	2
అంకుర	23
అంకురం	43
అంకురము	22
అంకురారోపణ	7
అంకురార్పణ	120
అంకురార్పణం	9
అంకురార్పణము	7
అంకురించాయి	8
అంకురించి	20
అంకురించింది	37
అంకురించిన	21
అంకురించు	30
అంకురించును	4
అంకురించే	3
అంకురింప	3
అంకురిస్తాయి	3
అంకురిస్తుంది	5
అంకురిస్తున్న	3
అంకురోత్పత్తి	2
అంకుల	3
అంకులు	15
అంకుల్	415
అంకుల్కి	16
అంకుల్ని	9
అంకుశ	21
అంకుశం	21
అంకుశంతో	12
అంకుశము	29
అంకుశముతో	3
అంకుశమును	2
అంకుశములతో	2
అంకుశాపురం	4
అంకుశ్	2
అంకుష్	5
అంకె	167
అంకెం	7
అంకెకి	3
అంకెకు	18
అంకెతో	10
అంకెని	7
అంకెను	27
అంకెల	194
అంకెలకు	18
అంకెలతో	40
అంకెలని	5
అంకెలను	89
అంకెలలో	19
అంకెలు	259
అంకెలుగా	2
అంకెలూ	7
అంకెలే	6
అంకెలో	4
అంకెల్ని	8
అంకెల్లో	12
అంకో	6
అంకోరా	2
అంకోల	9
అంకోలా	3
అంక్	3
అంక్ష	18
అంక్షలను	10
అంక్షలు	52
అంఖో	3
అంఖ్	2
అంగ	446
అంగం	77
అంగంగా	21
అంగచ్ఛేదం	3
అంగజ	9
అంగజాల	13
అంగటి	5
అంగట్ల	5
అంగట్లో	58
అంగడి	270
అంగడికి	31
అంగడిలో	56
అంగడులు	6
అంగణము	8
అంగతో	6
అంగద	47
అంగదము	4
అంగదా	9
అంగదాదులతో	6
అంగదాదులు	6
అంగదాహము	3
అంగదు	11
అంగదుడి	17
అంగదుడికి	9
అంగదుడితో	10
అంగదుడిని	20
అంగదుడు	76
అంగదునకు	4
అంగదుని	22
అంగదేశ	3
అంగదేశం	3
అంగదేశపు	9
అంగదేశము	4
అంగదేశములో	3
అంగదేశానికి	2
అంగన	50
అంగనకు	3
అంగనలు	3
అంగనా	16
అంగన్	11
అంగన్యాస	16
అంగన్యాసం	3
అంగన్యాసము	8
అంగన్వాడి	28
అంగన్వాడీ	24
అంగన్వాడీలు	3
అంగపు	4
అంగబల	2
అంగబలం	40
అంగభూత	3
అంగము	141
అంగమున	4
అంగమునకు	5
అంగమును	15
అంగముల	20
అంగములకు	11
అంగములచే	3
అంగములతో	13
అంగములను	37
అంగములన్నియు	4
అంగములలో	14
అంగములు	99
అంగములుగా	9
అంగములై	2
అంగమైన	6
అంగమొల	4
అంగర	66
అంగరంగ	23
అంగరకా	19
అంగరక్ష	12
అంగరక్షకుడిలా	3
అంగరక్షకుడు	26
అంగరక్షకుల	7
అంగరక్షకులతో	6
అంగరక్షకులను	10
అంగరక్షకులు	55
అంగరక్షకులుగా	13
అంగరక్షకులే	4
అంగరక్షణి	4
అంగరఖా	28
అంగరఖాను	4
అంగరాజు	28
అంగరాజ్యానికి	2
అంగరేకు	10
అంగల	9
అంగలకుదురు	7
అంగలతో	31
అంగలలో	4
అంగలారుస్తూ	7
అంగలార్చు	15
అంగలార్చే	3
అంగలార్పు	12
అంగలు	54
అంగలూరు	17
అంగలూరులో	3
అంగలో	46
అంగల్లో	36
అంగళ్ల	14
అంగళ్లను	4
అంగళ్లలో	6
అంగళ్లు	13
అంగళ్ళ	10
అంగళ్ళలో	7
అంగళ్ళు	18
అంగవస్త్రం	34
అంగవస్త్రము	8
అంగవికలుడు	5
అంగవైకల్య	2
అంగవైకల్యం	46
అంగవైకల్యంతో	5
అంగవైకల్యము	11
అంగవైకల్యానికి	5
అంగవైకల్యాన్ని	4
అంగవైకల్యాలు	5
అంగసౌష్టవం	16
అంగా	66
అంగాం	4
అంగాంగ	22
అంగాంగం	10
అంగాంగి	14
అంగాడు	3
అంగాత్	2
అంగాని	31
అంగానికి	7
అంగాన్ని	19
అంగార	77
అంగారక	59
అంగారకుడు	33
అంగారకునకు	7
అంగారకుని	11
అంగారకునిపై	5
అంగారము	17
అంగారా	6
అంగారు	4
అంగారే	3
అంగార్	4
అంగాల	28
అంగాలకు	10
అంగాలతో	8
అంగాలను	21
అంగాలన్నీ	8
అంగాలలో	2
అంగాలు	68
అంగాలుగా	11
అంగాలూ	10
అంగి	103
అంగిక	26
అంగికం	5
అంగికరించి	3
అంగికా	4
అంగికాభినయం	13
అంగికాభినయంతో	4
అంగిటి	4
అంగిట్లో	5
అంగిడి	3
అంగిర	24
అంగిరస	21
అంగిరసం	9
అంగిరసము	5
అంగిరసు	6
అంగిరసుడు	30
అంగిరసుని	6
అంగిరసుల	3
అంగిరసులు	18
అంగిరస్సు	3
అంగిరా	7
అంగిరేకుల	3
అంగిలి	38
అంగిలికి	4
అంగీ	188
అంగీక	208
అంగీకర	3
అంగీకరిం	39
అంగీకరించ	78
అంగీకరించం	9
అంగీకరించండి	25
అంగీకరించక	131
అంగీకరించకపోతే	26
అంగీకరించకపోయినా	11
అంగీకరించకపోవచ్చు	5
అంగీకరించకపోవటంతో	3
అంగీకరించకపోవడం	4
అంగీకరించకుండా	20
అంగీకరించకున్నా	2
అంగీకరించగల	5
అంగీకరించగలిగితే	2
అంగీకరించగా	7
అంగీకరించటం	55
అంగీకరించటానికి	16
అంగీకరించడం	105
అంగీకరించడంతో	10
అంగీకరించడంలేదు	11
అంగీకరించడంలో	4
అంగీకరించడమే	15
అంగీకరించడమో	5
అంగీకరించడానికి	46
అంగీకరించడు	52
అంగీకరించదని	6
అంగీకరించదు	67
అంగీకరించనని	4
అంగీకరించని	78
అంగీకరించను	36
అంగీకరించబడదు	2
అంగీకరించబడవు	2
అంగీకరించబడింది	6
అంగీకరించబడిన	2
అంగీకరించబడినది	7
అంగీకరించబడ్డాయి	3
అంగీకరించమని	16
అంగీకరించము	7
అంగీకరించరని	5
అంగీకరించరాదు	6
అంగీకరించరు	85
అంగీకరించలేక	16
అంగీకరించలేదట	3
అంగీకరించలేదని	4
అంగీకరించలేదు	258
అంగీకరించలేని	11
అంగీకరించలేను	5
అంగీకరించలేరు	2
అంగీకరించవచ్చు	16
అంగీకరించవచ్చును	4
అంగీకరించవద్దు	3
అంగీకరించవలసి	20
అంగీకరించవలసిన	8
అంగీకరించవు	9
అంగీకరించాం	10
అంగీకరించాక	6
అంగీకరించాడట	3
అంగీకరించాడని	4
అంగీకరించాడు	312
అంగీకరించాను	47
అంగీకరించాము	3
అంగీకరించాయి	25
అంగీకరించారని	5
అంగీకరించారా	3
అంగీకరించారు	354
అంగీకరించాలని	21
అంగీకరించాలి	70
అంగీకరించాలో	3
అంగీకరించాల్సి	5
అంగీకరించాల్సిందే	6
అంగీకరించాల్సిన	2
అంగీకరించి	373
అంగీకరించిందని	7
అంగీకరించిందా	3
అంగీకరించింది	156
అంగీకరించిన	168
అంగీకరించినంత	2
అంగీకరించినందుకు	10
అంగీకరించినట్టు	6
అంగీకరించినట్లయితే	9
అంగీకరించినట్లు	12
అంగీకరించినట్లే	4
అంగీకరించినది	27
అంగీకరించినను	11
అంగీకరించినపుడు	5
అంగీకరించినప్పటికీ	6
అంగీకరించినప్పుడు	7
అంగీకరించినవారు	4
అంగీకరించినవి	9
అంగీకరించినా	50
అంగీకరించినారు	20
అంగీకరించిరి	27
అంగీకరించు	130
అంగీకరించుచున్నారు	5
అంగీకరించుట	33
అంగీకరించుటకు	8
అంగీకరించుటలేదు	6
అంగీకరించును	18
అంగీకరించెదరు	3
అంగీకరించెను	52
అంగీకరించే	87
అంగీకరించేందుకు	9
అంగీకరించేటట్లు	5
అంగీకరించేది	4
అంగీకరించేలా	16
అంగీకరించేవాడు	14
అంగీకరించేవారు	12
అంగీకరింతురు	26
అంగీకరింప	47
అంగీకరింపక	38
అంగీకరింపజేసి	6
అంగీకరింపదు	5
అంగీకరింపని	11
అంగీకరింపబడి	4
అంగీకరింపబడిన	18
అంగీకరింపబడును	3
అంగీకరింపలేదు	19
అంగీకరిచడం	3
అంగీకరిద్దాం	4
అంగీకరిస్తా	6
అంగీకరిస్తాం	14
అంగీకరిస్తాడా	5
అంగీకరిస్తాడు	44
అంగీకరిస్తాను	32
అంగీకరిస్తామని	3
అంగీకరిస్తాయా	3
అంగీకరిస్తారని	8
అంగీకరిస్తారా	21
అంగీకరిస్తారు	72
అంగీకరిస్తుందని	6
అంగీకరిస్తుందా	9
అంగీకరిస్తుంది	26
అంగీకరిస్తున్న	9
అంగీకరిస్తున్నట్టు	8
అంగీకరిస్తున్నట్లు	4
అంగీకరిస్తున్నది	3
అంగీకరిస్తున్నాం	6
అంగీకరిస్తున్నాను	29
అంగీకరిస్తున్నాయి	2
అంగీకరిస్తున్నారు	33
అంగీకరిస్తూ	62
అంగీకరిస్తూనే	31
అంగీకరిస్తే	96
అంగీకరిస్తేనే	13
అంగీకరిస్తోంది	5
అంగీకార	90
అంగీకారం	277
అంగీకారంగా	26
అంగీకారంతో	36
అంగీకారంతోనే	9
అంగీకారంపై	3
అంగీకారంలో	3
అంగీకారపత్రం	3
అంగీకారము	66
అంగీకారమును	9
అంగీకారమే	17
అంగీకారమేనా	8
అంగీకారమైతే	3
అంగీకారమైన	4
అంగీకారమైనది	2
అంగీకారయోగ్యం	9
అంగీకారయోగ్యంగా	5
అంగీకారయోగ్యమైన	4
అంగీకారానికి	45
అంగీకారాన్ని	62
అంగీకి	3
అంగీకృత	14
అంగీని	13
అంగీరస	43
అంగీరసుడు	24
అంగీరసుని	9
అంగీరస్	5
అంగీరించి	2
అంగీలను	3
అంగీలు	21
అంగు	109
అంగుఁడు	13
అంగుగ	4
అంగుడి	8
అంగుడు	31
అంగుత్తర	44
అంగుత్తరనికాయ	4
అంగుని	18
అంగుల	9
అంగుల్	4
అంగుళ	57
అంగుళం	175
అంగుళంకూడా	9
అంగుళంలో	9
అంగుళంలోనూ	3
అంగుళము	70
అంగుళముల	86
అంగుళములు	48
అంగుళములో	5
అంగుళమైనా	8
అంగుళాల	103
అంగుళాలలో	2
అంగుళాలు	50
అంగుళి	20
అంగుళిమాలుడు	4
అంగుళీ	7
అంగుళీయకం	16
అంగుళీయకము	7
అంగుళీయకమును	3
అంగుష్ట	13
అంగుష్టాభ్యాం	16
అంగుష్ఠ	29
అంగుష్ఠం	27
అంగుష్ఠాభ్యాం	8
అంగుస్తాను	2
అంగూరు	5
అంగూర్	8
అంగెల్	2
అంగే	7
అంగై	4
అంగైశ్చ	6
అంగోరా	8
అంగోలా	17
అంగ్	14
అంగ్రేజి	3
అంగ్రేజీ	7
అంగ్ల	224
అంగ్లం	15
అంగ్లంలో	44
అంగ్లపదం	4
అంగ్లభాష	3
అంగ్లానువాదం	6
అంగ్లాన్ని	7
అంగ్లేయుడు	5
అంగ్లేయుల	22
అంగ్లేయులు	32
అంగ్లొ	2
అంగ్లో	26
అంచ	74
అంచంచల	6
అంచన	33
అంచనా	1991
అంచనాకి	6
అంచనాకు	31
అంచనాగా	4
అంచనాతో	24
అంచనాని	11
అంచనాను	13
అంచనాప్రకారం	9
అంచనాయే	3
అంచనాల	116
అంచనాలకన్నా	2
అంచనాలకు	30
అంచనాలతో	14
అంచనాలతోనే	2
అంచనాలని	4
అంచనాలను	33
అంచనాలన్నీ	11
అంచనాలపై	3
అంచనాలలో	14
అంచనాలు	234
అంచనాలున్న	2
అంచనాలూ	4
అంచనాలే	4
అంచనాలో	15
అంచనాల్ని	7
అంచనావేయటం	4
అంచనావేయడం	10
అంచనావేయడానికి	6
అంచనావేయబడింది	5
అంచనావేయవచ్చు	5
అంచనావేయుట	7
అంచనావేశారు	9
అంచనావేసి	36
అంచనావేసింది	2
అంచనావేసిన	10
అంచనావేసే	3
అంచనావేస్తున్నారు	2
అంచనావేస్తూ	2
అంచనావేస్తే	4
అంచయాన	12
అంచల	19
అంచలంచల	2
అంచలంచలుగా	7
అంచలంచెలుగా	6
అంచల్	6
అంచా	14
అంచాత	8
అంచి	44
అంచిత	26
అంచు	579
అంచుక	9
అంచుకి	11
అంచుకు	68
అంచుగల	29
అంచుచే	4
అంచుతో	24
అంచుదాకా	4
అంచున	190
అంచునకు	8
అంచుని	52
అంచును	53
అంచునుంచి	11
అంచునుండి	12
అంచునున్న	11
అంచునే	13
అంచున్	15
అంచున్న	8
అంచుపై	8
అంచుమీద	29
అంచుల	93
అంచులందు	2
అంచులకి	9
అంచులకు	34
అంచులతో	5
అంచులదాకా	10
అంచులను	54
అంచులనుండి	3
అంచులపై	10
అంచులమీద	5
అంచులయందు	2
అంచులలో	10
అంచులలోని	3
అంచులవద్ద	6
అంచులవరకు	3
అంచులా	6
అంచులు	178
అంచులూ	3
అంచులేని	6
అంచులో	29
అంచుల్ని	24
అంచుల్లో	33
అంచుల్లోకి	4
అంచువద్ద	4
అంచువరకు	12
అంచువరకూ	6
అంచూ	7
అంచె	72
అంచెను	5
అంచెల	16
అంచెలంచలుగా	4
అంచెలంచెల	5
అంచెలంచెలు	7
అంచెలంచెలుగా	72
అంచెలను	2
అంచెలలో	11
అంచెలవారీగా	3
అంచెలు	15
అంచెలుగా	7
